airport,AirTran Airways Corporation,Alaska Airlines Inc.,Allegiant Air,American Airlines Inc.,American Eagle Airlines Inc.,Delta Air Lines Inc.,Endeavor Air Inc.,Envoy Air,ExpressJet Airlines Inc.,ExpressJet Airlines LLC,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Horizon Air,JetBlue Airways,Mesa Airlines Inc.,PSA Airlines Inc.,Republic Airline,SkyWest Airlines Inc.,Southwest Airlines Co.,Spirit Air Lines,US Airways Inc.,United Air Lines Inc.,Virgin America
DVL,,,,,,,,,,,,,,,,,,1.6604348224933494,,,,,
EAR,,,,,,,,,,,,,,,,,,1.8024823410696267,,,,,
EAT,,,,,,,,,,,,,1.311890346451396,,,,,,,,,,
EAU,,,,,,,,,,,,,,,,,,1.8055175147758398,,,,,
ECP,,,,2.2682811974436596,,2.282833638338265,1.2314581231079718,1.274935962120624,1.696390592253357,1.5026348245318983,,,,,2.2415909855364955,1.8096522549095708,1.1629330642448705,1.4875826886422245,2.4987432345656364,,,1.6185671039354188,
EGE,,,,2.292300921055457,,1.1729734275142953,,,,,,,,,,,,2.044462663975782,,,,1.6769961915302236,
EKO,,,,,,,,,,,,,,,,,,1.3097046976507576,,,,,
ELM,,,1.2407401911319522,,,,1.2129522848493586,,2.6658467877564753,,,,,,,,,1.9831483350151362,,,,,
ELP,,1.1736741787195875,1.1947676144120614,2.7769632575532737,2.653884964682139,1.4672382016662358,,1.8607337835390307,2.12089760222959,1.2855701311806256,1.330978809283552,,1.177598385469223,,3.1954363464730964,,1.428997339693606,2.141439623276152,2.9861611647686317,,,1.5143962327615204,
ERI,,,,,,,1.2962375666714718,1.2578924607178896,1.6453077699293643,1.1261352169525731,,,,,,1.362579000477986,,1.9241541217899876,,,,,
ESC,,,,,,,1.3503531786074672,,,,,,,,,,,1.6938157705059824,,,,,
EUG,,1.2554658594012782,1.7626432005698343,1.9537317337519156,,1.2129162462159435,,1.312209889001009,,,1.088006342799481,,2.092751429532459,,1.7418913074816202,,,3.120169437021102,2.3160040363269427,,,2.165136226034309,
EVV,,,1.1714696978690569,,2.9697275479313827,1.2934345618503036,1.7425832492431885,1.7890216493899642,2.3460808291573314,1.0165777713709097,,,,,1.779836712228236,1.5882946518668013,,1.6278323089624804,,,,,
EWN,,,,,,,1.4100115323626927,1.3686511940800539,1.6606808212689717,,,,,,,2.2333659182643792,,1.825933400605449,,,,,
EWR,,2.265649270399891,1.3470795987416158,3.1012751123750117,2.695113161308923,3.0552390872692947,2.656675706357215,1.5466315483418565,,1.0,2.335382075038987,,,2.4046417759838548,,1.2267070299360916,3.0557237358448255,2.358616436820271,3.8299697275479314,3.219926708800255,4.521392532795156,2.5724857046754117,2.969915284068242
EYW,,,1.3967186156893523,2.6887823747056845,1.5831231079717458,1.7579037786358216,1.797955795709775,1.5659654842298636,1.8042549613185335,1.3077699293642784,,,,1.5014295324587958,1.5173027838784354,,2.4988626451623936,,1.5549949545913218,,,,
FAI,,2.2412383722409244,,1.8486377396569122,,1.4528827630492616,,,,,1.084618711258469,,2.0393541876892027,,,,,1.4415453366008362,,,,1.5335799977575961,
FAR,,,1.5445479907401911,1.2720484359233097,2.9143541876892027,1.5976610002846128,1.2658242363085956,1.967361425240962,2.048996524274022,1.0529047138532506,1.1980768089274054,,,,2.096468213925328,,1.205947275479314,2.88502909161174,,,,,
FAT,,1.2297495642601597,1.617276072891316,2.034223263609776,,,,1.310544904137235,,,1.1232942637584413,,1.375497121149166,,1.7516851664984863,,,3.752896064581231,2.708131806952225,,,1.6646040782133542,
FAY,,,,,,1.3233592125043763,1.409918432559704,1.2501401502410583,2.1177194752774975,,,,,,1.5645091538128875,2.197034852130715,,1.6564663365639594,,,,,
FCA,,,1.2379948952335726,1.7052920731023657,,1.4421313561181064,1.2633703329969728,1.1076113593772523,,,1.0665993945509586,,1.640010090817356,1.2142616885301043,1.1707870837537842,,1.2533916358336137,2.0908594012781703,,,,1.936310124453414,
FLG,,,,,,,,,1.2351160443995963,,,,,,1.2015010090817357,,,2.0554304984173806,,,,,
FLL,2.388352313680265,1.494666877934468,3.5088100597686873,3.5182643794147324,,3.3615480500979404,1.1791385628551703,,1.3794147325933401,,1.913380423814329,,,2.6962663975782037,1.0406996300033635,,1.0737750868931495,1.2198116380760176,3.115820159210674,2.596367305751766,4.095358224016145,3.406697312852711,2.022650281101341
FLO,,,,,,,,1.0993945509586276,,,,,,,,1.4786411032626976,,,,,,,
FNL,,,,,,,,,,,,,,,,,,1.0,,,,,
FNT,1.012108980827447,,2.0436882764553106,,2.1251261352169526,1.3960583523314771,1.3716982252033003,1.5704426256057604,1.828366008360963,1.1908285682251374,,,,,,1.5944085000296788,,1.8108935475458905,2.2757529631086557,,,,
FOD,,,,,,,,,,,,,,,,,,1.7233434241506895,,,,,
FOE,,,,,,,,,2.2985760735508465,,,,,,,,,,,,,,
FSD,,,1.7403195927526847,3.1829321032146463,2.910443995963673,1.6727528892104413,1.3715663190940688,1.7935671039354188,2.3238328631149736,1.0294876107186903,1.262821534158302,,,,2.6412625913927097,1.3650184998318198,1.2113017154389505,3.0521035473104092,,,,1.502869915258835,
FSM,,,,,2.1502270433905144,,1.367305751765893,1.4592509052056746,2.105166840547983,,,,,,2.4466562700669665,,,1.610037209889001,,,,,
FWA,,,1.6503383391701787,,2.791372351160444,,1.4324044606587494,1.727127480659267,1.6669649486891456,,,,,,1.6813824419778003,1.5730296068875196,,3.0314283093294194,,,,,
GCC,,,,,,,,,,,,,,,,,,1.7211265021557656,,,,,
GCK,,,,,1.588420787083754,,,1.4638118062563068,1.612725051781826,,,,,,,,,1.7180625630676085,,,,,
GEG,,2.0285425976646967,1.4406757592526285,1.9635690284727496,,2.196148671375715,,1.216672272676309,,,1.3635923309788094,,3.2454871622379193,,,,1.0072653884964682,2.7642566885755584,3.244066599394551,,1.3541876892028255,1.821367305751766,
GFK,,,1.1960931969817914,,,1.6506559031281534,1.4691893710057182,,,,,,,,,,,1.9260206263147994,,,,,
GGG,,,,,1.5332996972754793,,,1.4482467204843592,1.5644484571671358,,,,,,,,,1.5065590312815338,,,,,
GJT,,,1.197156763815516,,1.8106710393541876,,,1.6367305751765893,1.4410948536831483,,1.0437010013195684,,,,1.3549215668287313,,1.4253279515640767,2.351488179944285,,,,1.8504230381122408,
GNV,,,,,1.2820383451059536,1.4283327727323691,1.6160187449759702,1.6031721389945406,2.6834006054490414,,,,,,1.4008072653884964,1.9530544127920515,,1.7278144812748701,,,,,
GPT,,,1.0888211292940815,,1.788975782038345,1.553837750766069,1.6084180703252349,1.5629605846558419,2.6371433813411613,1.7985200134544232,,,,,2.0420860919002735,1.6895886507983617,,1.366072429644579,,,,,
GRB,,,,1.2086781029263372,2.3095358224016147,1.4227648839556004,1.7566431214261689,1.775366534101027,2.612937490041957,2.102477856261913,1.1503919894434527,,,,,,1.2453823542315623,2.4838408057841677,,,,1.0549228773244919,
GRI,,,1.214504066005817,,1.6939959636730575,,,1.4659503095426405,1.8686511940800539,,,,,,1.4833501513622602,,,1.8208583130527691,,,,,
